date,usd_mxn,cetes_28d,tiie_28d,policy_rate,udi
2018-01-01,,,,7.25,5.936162
2018-01-02,19.4899,7.25,7.6275,7.25,5.937773
2018-01-03,19.3717,,7.625,7.25,5.939385
2018-01-04,19.2427,,7.625,7.25,5.940997
2018-01-05,19.2737,,7.6292,7.25,5.942609
2018-01-06,,,,7.25,5.944222
2018-01-07,,,,7.25,5.945836
2018-01-08,19.2323,,7.6282,7.25,5.947449
2018-01-09,19.3065,7.24,7.63,7.25,5.949064
2018-01-10,19.2405,,7.6298,7.25,5.950678
2018-01-11,19.3433,,7.6299,7.25,5.95177
2018-01-12,19.0446,,7.6325,7.25,5.952862
2018-01-13,,,,7.25,5.953955
2018-01-14,,,,7.25,5.955047
2018-01-15,18.8113,,7.6343,7.25,5.95614
2018-01-16,18.8362,7.24,7.6287,7.25,5.957233
2018-01-17,18.655,,7.6334,7.25,5.958326
2018-01-18,18.6361,,7.6318,7.25,5.959419
2018-01-19,18.5813,,7.635,7.25,5.960512
2018-01-20,,,,7.25,5.961606
2018-01-21,,,,7.25,5.9627
2018-01-22,18.7118,,7.6428,7.25,5.963794
2018-01-23,18.798,7.25,7.645,7.25,5.964888
2018-01-24,18.5178,,7.6475,7.25,5.965983
2018-01-25,18.478,,7.6441,7.25,5.967077
2018-01-26,18.4672,,7.645,7.25,5.967965
2018-01-27,,,,7.25,5.968852
2018-01-28,,,,7.25,5.96974
2018-01-29,18.6196,,7.655,7.25,5.970627
2018-01-30,18.6982,7.24,7.6625,7.25,5.971515
2018-01-31,18.6069,,7.66,7.25,5.972403
2018-02-01,18.4004,,7.6643,7.25,5.973291
2018-02-02,18.5248,,7.665,7.25,5.974179
2018-02-03,,,,7.25,5.975068
2018-02-04,,,,7.25,5.975956
2018-02-05,,,,7.25,5.976845
2018-02-06,18.7009,7.35,7.675,7.25,5.977733
2018-02-07,18.6492,,7.6862,7.25,5.978622
2018-02-08,18.8815,,7.7056,7.5,5.979511
2018-02-09,18.8623,,7.84,7.5,5.9804
2018-02-10,,,,7.5,5.98129
2018-02-11,,,,7.5,5.982521
2018-02-12,18.6703,,7.84,7.5,5.983752
2018-02-13,18.6269,7.5,7.832,7.5,5.984984
2018-02-14,18.6025,,7.835,7.5,5.986216
2018-02-15,18.5159,,7.8325,7.5,5.987448
2018-02-16,18.4797,,7.825,7.5,5.988681
2018-02-17,,,,7.5,5.989913
2018-02-18,,,,7.5,5.991146
2018-02-19,18.536,,7.8125,7.5,5.992379
2018-02-20,18.6594,7.49,7.8312,7.5,5.993613
2018-02-21,18.6518,,7.83,7.5,5.994847
2018-02-22,18.6574,,7.8325,7.5,5.996081
2018-02-23,18.5659,,7.825,7.5,5.997315
2018-02-24,,,,7.5,5.998549
2018-02-25,,,,7.5,5.999784
2018-02-26,18.6456,,7.8331,7.5,6.000729
2018-02-27,18.7902,7.47,7.8315,7.5,6.001675
2018-02-28,18.8331,,7.8294,7.5,6.00262
2018-03-01,18.861,,7.8244,7.5,6.003566
2018-03-02,18.8909,,7.8316,7.5,6.004512
2018-03-03,,,,7.5,6.005458
2018-03-04,,,,7.5,6.006404
2018-03-05,18.8838,,7.8225,7.5,6.00735
2018-03-06,18.7246,7.5,7.8299,7.5,6.008296
2018-03-07,18.7922,,7.83,7.5,6.009243
2018-03-08,18.7148,,7.8396,7.5,6.010189
