date,banxico_target_rate,cetes_28d,tiie_28d,usd_mxn,udi,mexico_cpi,mexico_inflation,us_10y
2019-01-31,0.0825,0.0786,0.08595000000000001,19.0388,6.247595,103.108,0.04365605546839424,0.0263
2019-02-28,0.0825,0.081,0.08535,19.2607,6.250861,103.079,0.03940280345022962,0.0273
2019-03-31,0.0825,0.0785,0.08515,19.3779,6.260628,103.476,0.04004174801310989,0.0241
2019-04-30,0.0825,0.08199999999999999,0.085,19.0099,6.277345,103.531,0.044134502749991755,0.025099999999999997
2019-05-31,0.0825,0.0805,0.085078,19.6426,6.272488,103.233,0.042819934282938954,0.021400000000000002
2019-06-30,0.0825,0.0818,0.08488699999999999,19.2087,6.258791,103.299,0.03947152072029958,0.02
2019-07-31,0.0825,0.0801,0.084589,18.9929,6.274513,103.687,0.03781337235547122,0.0202
2019-08-31,0.08,0.0787,0.08259999999999999,20.0696,6.287395,103.67,0.03162440791306764,0.015
2019-09-30,0.0775,0.0761,0.080275,19.7345,6.291411,103.942,0.02997512807554714,0.0168
2019-10-31,0.0775,0.0762,0.079625,19.1948,6.315951,104.503,0.030195189274447864,0.0169
2019-11-30,0.075,0.0746,0.077804,19.5352,6.356099,105.346,0.029744973265691144,0.0178
2019-12-31,0.0725,0.0725,0.07554999999999999,18.8642,6.399018,105.934,0.02828576975344599,0.0192
2020-01-31,0.0725,0.0704,0.074951,18.9082,6.440216,106.447,0.032383520192419635,0.0151
2020-02-29,0.07,0.0691,0.072925,19.776,6.460353,106.889,0.03696194181162027,0.0113
2020-03-31,0.065,0.0639,0.06709999999999999,23.4847,6.499174,106.838,0.03249062584560658,0.006999999999999999
2020-04-30,0.06,0.0584,0.062474999999999996,23.9283,6.437468,105.755,0.021481488636253765,0.0064
2020-05-31,0.055,0.0538,0.057394999999999995,22.1778,6.425677,106.162,0.02837271027675259,0.006500000000000001
2020-06-30,0.05,0.0481,0.052843,23.0893,6.443804,106.743,0.033340109778410065,0.0066
2020-07-31,0.05,0.0463,0.051925,22.2012,6.496141,107.444,0.036234050556000374,0.0055000000000000005
2020-08-31,0.045,0.045,0.047677,21.888,6.525312,107.867,0.04048422880293234,0.0072
2020-09-30,0.0425,0.0418,0.045485,22.1438,6.549579,108.114,0.04013776914048228,0.0069
2020-10-31,0.0425,0.042199999999999994,0.045125,21.2508,6.567944,108.774,0.04086964010602556,0.0088
2020-11-30,0.0425,0.042800000000000005,0.044871999999999995,20.1398,6.60193,108.856,0.03331877812161821,0.0084
2020-12-31,0.0425,0.0424,0.044805000000000005,19.9087,6.605597,109.271,0.03150074574735218,0.009300000000000001
2021-01-31,0.0425,0.042199999999999994,0.044500000000000005,20.2248,6.644764,110.21,0.03535092581284571,0.0111
2021-02-28,0.04,0.04019999999999999,0.042812,20.939,6.702835,110.907,0.03759039751517923,0.0144
2021-03-31,0.04,0.0408,0.042874999999999996,20.44,6.748761,111.824,0.04666878825885923,0.0174
2021-04-30,0.04,0.0406,0.04285,20.1822,6.791518,112.19,0.0608481868469577,0.0165
2021-05-31,0.04,0.0407,0.04283000000000001,19.9213,6.810965,112.419,0.05893822648405256,0.0158
2021-06-30,0.0425,0.043,0.04529,19.9062,6.830377,113.018,0.05878605622851163,0.014499999999999999
2021-07-31,0.0425,0.0435,0.045134999999999995,19.8455,6.869301,113.682,0.05805815122296276,0.0124
2021-08-31,0.045,0.043899999999999995,0.04749,20.0605,6.900926,113.899,0.05592071717948954,0.013000000000000001
2021-09-30,0.045,0.046900000000000004,0.047515,20.5623,6.922358,114.601,0.060001479919344236,0.0152
2021-10-31,0.0475,0.0493,0.049975,20.5297,6.97024,115.561,0.06239542537738796,0.0155
2021-11-30,0.05,0.051,0.052275,21.4453,7.036693,116.884,0.07374880576174037,0.0143
2021-12-31,0.055,0.054900000000000004,0.05715,20.4672,7.108233,117.308,0.07355107942638028,0.0152
2022-01-31,0.055,0.055,0.057365000000000006,20.6352,7.123812,118.002,0.07070138825877881,0.0179
2022-02-28,0.06,0.0594,0.062367,20.4257,7.176212,118.981,0.07279973310972254,0.0183
2022-03-31,0.065,0.0652,0.06722500000000001,19.9112,7.242651,120.159,0.07453677207039644,0.0232
2022-04-30,0.065,0.0668,0.067525,20.3728,7.311269,120.809,0.0768250289687138,0.028900000000000002
2022-05-31,0.07,0.0701,0.07225,19.694,7.330093,121.022,0.07652620998229853,0.0285
2022-06-30,0.0775,0.0756,0.080303,20.1335,7.361518,122.044,0.07986338459360454,0.0298
2022-07-31,0.0775,0.0805,0.0808,20.3485,7.426776,122.948,0.08150806636054941,0.026699999999999998
2022-08-31,0.085,0.08349999999999999,0.08821,20.0962,7.475263,123.803,0.08695423138043346,0.0315
2022-09-30,0.0925,0.0925,0.09535,20.0925,7.529183,124.571,0.08699749565885107,0.0383
2022-10-31,0.0925,0.094,0.09596,19.8245,7.569793,125.276,0.08406815448118299,0.040999999999999995
2022-11-30,0.1,0.0968,0.102935,19.3965,7.616082,125.997,0.07796618869990768,0.0368
2022-12-31,0.105,0.10099999999999999,0.10769999999999999,19.4715,7.646804,126.478,0.07817028676646087,0.0388
2023-01-31,0.105,0.10779999999999999,0.108125,18.7937,7.685924,127.336,0.07910035423128425,0.0352
2023-02-28,0.11,0.1105,0.11273999999999999,18.3448,7.739885,128.046,0.07618863516023566,0.0392
2023-03-31,0.1125,0.1134,0.1152,18.0415,7.774887,128.389,0.06849258066395358,0.0348
2023-04-30,0.1125,0.1127,0.11549899999999999,17.9975,7.783704,128.363,0.06252845400591012,0.0344
2023-05-31,0.1125,0.11199999999999999,0.11496600000000001,17.7418,7.782322,128.084,0.05835302672241416,0.0364
