date,usd_mxn,udi,cetes_28d_carry,tiie_28d_carry,policy_rate_carry
2018-01-02,19.4899,5.937773,100.0,100.0,100.0201388888889
2018-01-03,19.3717,5.939385,100.0201388888889,100.0211875,100.04028183352625
2018-01-04,19.2427,5.940997,100.04028183352625,100.04237254318575,100.06042883472884
2018-01-05,19.2737,5.942609,100.06042883472884,100.06356207348135,100.0805798933136
2018-01-08,19.2323,5.947449,100.12089418589834,100.1271926336204,100.141057421533
2018-01-09,19.3065,5.949064,100.141057421533,100.14840902947728,100.1612247178193
2018-01-10,19.2405,5.950678,100.1611969008589,100.16963492839102,100.18139607557497
2018-01-11,19.3433,5.95177,100.18134043045785,100.19086476951813,100.20157149561797
2018-01-12,19.0446,5.952862,100.20148801114442,100.21209938838216,100.2217509787664
2018-01-15,18.8113,5.95614,100.26195506787785,100.27585197362055,100.2823138150277
2018-01-16,18.8362,5.957233,100.28211886106374,100.29711686075173,100.30250955878213
2018-01-17,18.655,5.958326,100.30228670941246,100.31837065562384,100.32270936973495
2018-01-18,18.6361,5.959419,100.32245861373956,100.3396420514728,100.34291324870526
2018-01-19,18.5813,5.960512,100.34263457486077,100.36091349814524,100.3631211965123
2018-01-22,18.7118,5.963794,100.40318680714844,100.42478167281881,100.42376946114886
2018-01-23,18.798,5.964888,100.42337900360631,100.44610185396796,100.44399369249868
2018-01-24,18.5178,5.965983,100.44360315632233,100.46743269976446,100.46422199678398
2018-01-25,18.478,5.967077,100.46383138195797,100.48877505230811,100.484454374825
2018-01-26,18.4672,5.967965,100.48406368133351,100.51011244801302,100.50469082744218
2018-01-29,18.6196,5.970627,100.54478503010435,100.57415936463411,100.56542464095702
2018-01-30,18.6982,5.971515,100.56503363264515,100.59554534213233,100.5856774000861
2018-01-31,18.6069,5.972403,100.58525837829795,100.61695682452634,100.60593423789585
2018-02-01,18.4004,5.973291,100.60548719137181,100.63836587700624,100.62619515520765
2018-02-02,18.5248,5.974179,100.62572007268473,100.65979150555042,100.64646015284309
2018-02-06,18.7009,5.977733,100.706692296693,100.74554747810404,100.7275609630582
2018-02-07,18.6492,5.978622,100.72725324637024,100.76702586912889,100.74784637464104
2018-02-08,18.8815,5.979511,100.74781839390803,100.78854018896877,100.7681358714804
2018-02-09,18.8623,5.9804,100.76838774016343,100.81011341605988,100.78912923312029
2018-02-12,18.6703,5.983752,100.83012097980865,100.87599036794526,100.8521355633869
2018-02-13,18.6269,5.984984,100.85070712950869,100.89795891695871,100.87314642496261
2018-02-14,18.6025,5.986216,100.871717693494,100.91990982846531,100.89416166380114
2018-02-15,18.5159,5.987448,100.89273263468014,100.94187392550712,100.91518128081442
2018-02-16,18.4797,5.988681,100.91375195397904,100.96383579293828,100.9362052769146
2018-02-19,18.536,5.992379,100.97683618967423,101.02968693893264,100.99930354886044
2018-02-20,18.6594,5.993613,100.99787303054708,101.0516117841885,101.02034507043311
2018-02-21,18.6518,5.994847,101.01888619913038,101.07359387813861,101.04139097565611
2018-02-22,18.6574,5.996081,101.03990373962013,101.0955773848071,101.06244126544273
2018-02-23,18.5659,5.997315,101.06092565292595,101.1175726934145,101.08349594070636
2018-02-26,18.6456,6.000729,101.12401763883861,101.18352411047124,101.14668628849688
2018-02-27,18.7902,6.001675,101.14505705250845,101.20554023999095,101.16775851480699
2018-02-28,18.8331,6.00262,101.16604465184685,101.22755666189067,101.18883513116425
2018-03-01,18.861,6.003566,101.1870366061121,101.24957196833869,101.20991613848325
2018-03-02,18.8909,6.004512,101.20803291620786,101.27157800030837,101.23100153767876
2018-03-05,18.8838,6.00735,101.27104799051747,101.33768558708343,101.29428409567518
2018-03-06,18.7246,6.008296,101.2920617329755,101.3597054216808,101.31538707152845
2018-03-07,18.7922,6.009243,101.31316424583655,101.38175087605528,101.33649444383501
2018-03-08,18.7148,6.010189,101.33427115505442,101.40380140687083,101.35760621351082
2018-03-09,18.5812,6.011136,101.35538246154505,101.42588377469053,101.37872238147196
2018-03-12,18.6199,6.012429,101.41874277381542,101.49215888957659,101.44209728423156
2018-03-13,18.5604,6.012603,101.43987167855997,101.5142193380019,101.46323105449912
2018-03-14,18.5854,6.012776,101.46089227419112,101.5362986807079,101.48436922763548
2018-03-15,18.7023,6.012949,101.48191722575683,101.55838282567096,101.50551180455791
2018-03-16,18.7216,6.013122,101.50294653415972,101.5804576686046,101.52665878618387
2018-03-20,18.7614,6.013814,101.58710735420264,101.66888973851253,101.61129077807874
2018-03-21,18.6001,6.013987,101.60810202305586,101.69102587994443,101.63245979699083
2018-03-22,18.5078,6.01416,101.62910103080729,101.71317588023152,101.6536332261152
2018-03-23,18.5364,6.014334,101.65010437835366,101.73533381306044,101.67481106637064
2018-03-26,18.3268,6.015786,101.71314046873223,101.80183657801835,101.73837106311419
2018-03-27,18.3445,6.016892,101.73430245267974,101.82402457108341,101.75956655708566
2018-03-28,18.2709,6.017998,101.75546883949558,101.84622305697346,101.78076646678507
2018-04-02,18.2967,6.023533,101.86136684866779,101.95731641465069,101.88683228340545
2018-04-03,18.2044,6.024641,101.88255967193712,101.97954679142104,101.90805870679782
2018-04-04,18.2244,6.025749,101.90367200235801,102.001776916239,101.92928955236174
2018-04-05,18.1081,6.026857,101.92478870772294,102.02400338676732,101.95052482101848
2018-04-06,18.2888,6.027965,101.9459097889385,102.04625737250606,101.97176451368952
2018-04-09,18.2753,6.031291,102.00929929675749,102.11297699533233,102.03551014500616
2018-04-10,18.2882,6.0324,102.03043789044509,102.13523195137412,102.05676754295303
2018-04-11,18.2018,6.032451,102.05160920630733,102.15747672118415,102.07802936952449
2018-04-12,18.1353,6.032503,102.07278491521762,102.17971753894943,102.09929562564312
2018-04-13,18.087,6.032555,102.09396501808752,102.20198278323372,102.1205663122318
2018-04-16,18.0394,6.03271,102.1575316995732,102.26877269604064,102.18440496404908
2018-04-17,17.9787,6.032761,102.17872938740085,102.29106047057022,102.20569338174992
2018-04-18,18.0333,6.032813,102.19987470778796,102.31332298331428,102.22698623453779
2018-04-19,18.2819,6.032864,102.22102440408163,102.33559034124688,102.24828352333665
2018-04-20,18.621,6.032916,102.24217847718747,102.35783525593179,102.26958524907069
2018-04-23,18.8628,6.033071,102.30566696643638,102.42464083104463,102.33351705712836
2018-04-24,18.8139,6.033123,102.32683855585026,102.44690396478082,102.3548365398486
2018-04-25,19.053,6.033174,102.34801452660693,102.46919328076149,102.37616046412774
2018-04-26,18.8644,6.031781,102.36919487961313,102.49150167804866,102.3974888308911
2018-04-27,18.6847,6.030388,102.3903796157757,102.51382347301828,102.41882164106421
2018-04-30,18.7878,6.026212,102.4539601322734,102.58086076387481,102.48284674130007
2018-05-02,19.0943,6.023429,102.49648293701159,102.62560685472273,102.5255523754825
2018-05-03,19.1223,6.022038,102.51775095722103,102.6479701147409,102.54691186556073
2018-05-04,19.2017,6.020648,102.53902339054464,102.6703325452969,102.56827580553272
2018-05-07,19.4232,6.016478,102.60286717835882,102.7374490718889,102.63239433408289
2018-05-08,19.5781,6.015089,102.62415727329832,102.75980873615218,102.6537760829025
2018-05-09,19.5387,6.0137,102.6455943194843,102.78217326674795,102.67516228625311
2018-05-10,19.2989,6.012311,102.66703584363104,102.80456407768807,102.69655294506275
2018-05-11,19.3539,6.01232,102.68848184667394,102.82694548799248,102.71794806025964
2018-05-14,19.5214,6.012348,102.75284673853646,102.89410524263727,102.78216015345893
2018-05-15,19.7854,6.012357,102.77431066652186,102.91653472849538,102.8035731034909
2018-05-16,19.7094,6.012366,102.79595036860107,102.93897282010029,102.82499051455414
2018-05-17,19.7033,6.012375,102.81759462703981,102.96141208646712,102.84641238757801
2018-05-18,19.9319,6.012384,102.8392434427974,102.98389199477268,102.8678387234921
2018-05-21,19.9054,6.012411,102.90421724358004,103.05142642428508,102.93214451787429
2018-05-22,19.7528,6.01242,102.92588429821078,103.07391396305464,102.95358871464886
2018-05-23,19.7661,6.012429,102.9473557812963,103.09641900690274,102.9750373789644
2018-05-24,19.7048,6.012439,102.96883174357178,103.11893411929809,102.9964905117517
2018-05-25,19.5608,6.012448,102.99031218597162,103.14145185721193,103.01794811394164
2018-05-28,19.5915,6.009164,103.05478040326423,103.20907757237067,103.0823477462397
