rank,exchange,country,market_cap_usd_trn,listed_companies,data_as_of,retrieved_on,source_name,source_url
1,NASDAQ Exchange,USA,43.20,3914,2026-06-05,2026-06-05,marketcap.company Stock Exchanges Ranked by Market Cap,https://marketcap.company/stock-exchanges-by-market-cap/
2,NYSE Exchange,USA,38.23,2050,2026-06-05,2026-06-05,marketcap.company Stock Exchanges Ranked by Market Cap,https://marketcap.company/stock-exchanges-by-market-cap/
3,Frankfurt Exchange,Germany,22.83,2536,2026-06-05,2026-06-05,marketcap.company Stock Exchanges Ranked by Market Cap,https://marketcap.company/stock-exchanges-by-market-cap/
4,Shanghai Stock Exchange,China,8.93,2105,2026-06-05,2026-06-05,marketcap.company Stock Exchanges Ranked by Market Cap,https://marketcap.company/stock-exchanges-by-market-cap/
5,Shenzhen Stock Exchange,China,6.51,2649,2026-06-05,2026-06-05,marketcap.company Stock Exchanges Ranked by Market Cap,https://marketcap.company/stock-exchanges-by-market-cap/
6,Sao Paulo Exchange,Brazil,5.10,233,2026-06-05,2026-06-05,marketcap.company Stock Exchanges Ranked by Market Cap,https://marketcap.company/stock-exchanges-by-market-cap/
7,Taiwan Stock Exchange,Taiwan,4.77,969,2026-06-05,2026-06-05,marketcap.company Stock Exchanges Ranked by Market Cap,https://marketcap.company/stock-exchanges-by-market-cap/
8,Toronto Exchange,Canada,4.10,621,2026-06-05,2026-06-05,marketcap.company Stock Exchanges Ranked by Market Cap,https://marketcap.company/stock-exchanges-by-market-cap/
9,Korea Stock Exchange,Korea,3.98,890,2026-06-05,2026-06-05,marketcap.company Stock Exchanges Ranked by Market Cap,https://marketcap.company/stock-exchanges-by-market-cap/
10,National Stock Exchange of India,India,3.55,1716,2026-06-05,2026-06-05,marketcap.company Stock Exchanges Ranked by Market Cap,https://marketcap.company/stock-exchanges-by-market-cap/
